Project Name,Package Name,Type Name,Testability Smell,Cause of the Smell
Varsims,com.bina.intervalTree,IntervalTree,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.intervalTree.IntervalTreeNode
Varsims,com.bina.intervalTree,IntervalTree,Law of Demeter violation,The tool detected the smell in this method (add) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.intervalTree.IntervalTreeNode.getRight; com.bina.intervalTree.IntervalTreeNode.getBalanceFactor
Varsims,com.bina.intervalTree,IntervalTree,Law of Demeter violation,The tool detected the smell in this method (add) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.intervalTree.IntervalTreeNode.getLeft; com.bina.intervalTree.IntervalTreeNode.getBalanceFactor
Varsims,com.bina.intervalTree,IntervalTree,Law of Demeter violation,The tool detected the smell in this method (rotateRight) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.intervalTree.IntervalTreeNode.getLeft; com.bina.intervalTree.IntervalTreeNode.getBalanceFactor
Varsims,com.bina.intervalTree,IntervalTree,Law of Demeter violation,The tool detected the smell in this method (rotateLeft) because the method voilates the law of Demeter. The long chain of method invocations is : com.bina.intervalTree.IntervalTreeNode.getRight; com.bina.intervalTree.IntervalTreeNode.getBalanceFactor
Varsims,com.bina.intervalTree,SimpleInterval1DTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.intervalTree.SimpleInterval1D; com.bina.intervalTree.IntervalTree
Varsims,com.bina.varsim.constants,Constant,Global State,The tool detected the smell in this class because the class declares global variables. The detected global variables are: SVLEN; MAX_VCF_COMPARE_WARNING_REPEAT; MAX_VCF_PARSER_WARNING_REPEAT; DISTANCE_METRIC_BIN_COUNT; MAX_BIN_CAPACITY
Varsims,com.bina.varsim.fastqLiftover,FastqLiftOver,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.fastqLiftover.types.MapBlocks
Varsims,com.bina.varsim.fastqLiftover,LongISLNDReadMapLiftOver,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.readers.longislnd.LongISLNDReadAlignmentMap; com.bina.varsim.fastqLiftover.types.MapBlocks
Varsims,com.bina.varsim.fastqLiftover,SimulatedReadTest,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.fastqLiftover.types.SimulatedRead
Varsims,com.bina.varsim.fastqLiftover.readers,ARTFastqAlnReader,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.fastqLiftover.readers.ArtAlnReader; com.bina.varsim.fastqLiftover.types.SimulatedRead
Varsims,com.bina.varsim.fastqLiftover.readers,ARTPairedFastqAlnReader,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.fastqLiftover.readers.ARTFastqAlnReader
Varsims,com.bina.varsim.fastqLiftover.readers,DWGSIMFastqReader,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.fastqLiftover.types.SimulatedRead
Varsims,com.bina.varsim.fastqLiftover.readers,DWGSIMPairedFastqReader,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.fastqLiftover.readers.DWGSIMFastqReader
Varsims,com.bina.varsim.fastqLiftover.readers,PBSIMFastqReader,Hard-wired Dependency,The tool detected the smell in this class because the class creates objects of concrete classes and uses them. Following concrete classes are instantiated and used: com.bina.varsim.fastqLiftover.readers.MafReader; com.bina.varsim.fastqLiftover.types.SimulatedRead
