Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell
Varsim,com.bina.varsim.tools.evaluation,SAMCompareTest,firstSAMCompareShortReadTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,SAMCompareTest,oneFalsePositiveSAMCompareShortReadTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,SAMCompareTest,oneFalsePositiveOneTruePositiveMultiAlignmentSAMCompareShortReadTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,SAMCompareTest,firstSAMCompareLongReadTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,firstSimpleTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,genotypeTest1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,genotypeTest2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,differentPaddingTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,canonicalizationTest1,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,canonicalizationTest2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,canonicalizationTest3,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,canonicalizationTest4SNPvsMNP,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,canonicalizationTest5SNPvsMNPnoGT,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,missingGTSNPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,duplicateLociSNPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationOnIdenticalBalancedNonreciprocalTranslocation,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,insertionVsInsertionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationDifferentInsertionsFailWithSmallWiggle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationDifferentInsertionsSucceedWithLargeWiggle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationDifferentDuplicationChromosomes,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationDifferentDuplicationOrientations,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,breakendEvaluationNonReciprocalBalancedWithLargeWiggle,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceSNPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceINSTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,impreciseDistanceINSTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,impreciseDistanceINSTest2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceINVTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceDELTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceDUPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceTenDUPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,sameLociDifferentInsertSeq,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,sameLociSameInsertSeq,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceMultipleMatchingTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,distanceMultipleMatchingTest,Ignored test,The tool detected the smell in this test method because the test is excluded from testing.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,complexVariantNoPartialMatchingTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.evaluation,VCFCompareTest,complexVariantNoPartialMatchingTest2,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools,LiftOverTest,firstSimpleTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools,LiftOverTest,tandemDupTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools,LiftOverTest,largeInsertionTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
Varsim,com.bina.varsim.tools.simulation,VCF2diploidTest,SNPTest,Missing assertion,The tool detected the smell in this test method because the test doesn't have any assertion.
